Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 SS (dBm),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/10/02 09:31:05,1,37.79576,-122.26721,-256.234,0.212,0.0,-61,0.898,0.792,0.415
2014/10/02 09:31:10,1,37.79579,-122.26716,-219.816,0.074,0.0,-61,1.317,0.000,0.252
2014/10/02 09:31:15,1,37.79583,-122.26708,-170.276,0.178,0.0,-61,0.676,0.000,0.270
2014/10/02 09:31:20,1,37.79587,-122.26699,-114.501,0.253,0.0,-61,0.685,0.042,0.371
2014/10/02 09:31:25,1,37.79591,-122.26689,-48.228,0.537,0.0,-59,0.921,0.875,0.715
2014/10/02 09:31:30,1,37.79593,-122.26688,-49.869,0.028,0.0,-59,0.412,1.000,0.352
2014/10/02 09:31:35,1,37.79595,-122.26687,-52.822,0.113,0.0,-59,0.554,1.042,0.522
2014/10/02 09:31:40,1,37.79596,-122.26686,-50.197,0.149,0.0,-59,0.538,1.125,0.523
2014/10/02 09:31:45,1,37.79594,-122.26686,-30.512,0.056,0.0,-59,0.384,1.208,0.386
2014/10/02 09:31:50,1,37.79592,-122.26686,-16.404,0.106,0.0,-59,0.000,0.000,0.259
2014/10/02 09:31:55,1,37.79592,-122.26685,-2.297,0.163,0.0,-59,0.000,0.000,0.339
2014/10/02 09:32:00,1,37.79592,-122.26684,5.906,0.100,0.0,-59,0.000,0.000,0.227
2014/10/02 09:32:05,1,37.79596,-122.26683,13.780,0.729,0.0,-59,0.000,0.000,0.227
2014/10/02 09:32:10,1,37.79597,-122.26682,25.262,0.204,0.0,-59,0.000,0.000,0.223
2014/10/02 09:32:15,1,37.79600,-122.26679,41.667,0.061,0.0,-59,0.000,0.000,0.227
2014/10/02 09:32:20,1,37.79602,-122.26677,54.134,0.303,0.0,-59,0.000,0.000,0.219
2014/10/02 09:32:25,1,37.79601,-122.26675,64.304,0.398,0.0,-59,0.000,0.000,0.227
2014/10/02 09:32:30,1,37.79601,-122.26675,72.507,0.021,0.0,-61,0.000,0.000,0.231
2014/10/02 09:32:35,1,37.79598,-122.26676,77.756,0.065,0.0,-61,0.000,0.000,0.223
2014/10/02 09:32:40,1,37.79596,-122.26676,81.365,0.289,0.0,-61,0.000,0.000,0.227
2014/10/02 09:32:45,1,37.79596,-122.26678,77.100,0.210,0.0,-61,0.000,0.000,0.227
2014/10/02 09:32:50,1,37.79591,-122.26683,74.803,0.386,0.0,-61,0.000,0.000,0.223
2014/10/02 09:32:55,1,37.79587,-122.26688,77.756,0.207,0.0,-61,0.000,0.000,0.523
2014/10/02 09:33:00,1,37.79586,-122.26688,99.409,0.404,0.0,-57,0.000,0.000,0.229
2014/10/02 09:33:05,1,37.79585,-122.26688,119.423,0.222,0.0,-57,0.000,0.000,0.751
2014/10/02 09:33:10,1,37.79583,-122.26687,140.420,0.390,0.0,-57,0.000,0.000,0.231
2014/10/02 09:33:15,1,37.79581,-122.26687,158.793,0.385,0.0,-57,0.000,0.000,0.399
2014/10/02 09:33:20,1,37.79578,-122.26686,173.885,0.028,0.0,-57,0.000,0.000,0.234
2014/10/02 09:33:25,1,37.79577,-122.26686,183.071,0.098,0.0,-57,0.000,0.000,0.228
2014/10/02 09:33:30,1,37.79578,-122.26686,188.648,0.011,0.0,-59,0.000,0.000,0.429
2014/10/02 09:33:35,1,37.79579,-122.26687,192.257,0.167,0.0,-59,0.000,0.000,0.346
2014/10/02 09:33:40,1,37.79580,-122.26687,193.898,0.179,0.0,-59,0.000,0.000,0.228
2014/10/02 09:33:45,1,37.79580,-122.26687,203.412,0.090,0.0,-59,0.000,0.000,0.223
2014/10/02 09:33:50,1,37.79581,-122.26687,212.270,0.422,0.0,-59,0.000,0.000,0.225
2014/10/02 09:33:55,1,37.79582,-122.26688,222.769,1.075,0.0,-59,0.000,0.000,0.235
2014/10/02 09:34:00,1,37.79582,-122.26689,230.643,0.299,0.0,-63,0.000,0.000,0.250
2014/10/02 09:34:05,1,37.79581,-122.26691,235.564,0.055,0.0,-63,0.000,0.000,0.231
2014/10/02 09:34:10,1,37.79582,-122.26691,233.924,0.259,0.0,-63,0.000,0.000,0.222
2014/10/02 09:34:15,1,37.79580,-122.26694,197.507,0.915,0.0,-63,0.000,0.000,0.231
2014/10/02 09:34:20,1,37.79578,-122.26692,168.635,0.400,0.0,-63,0.000,0.000,0.238
2014/10/02 09:34:25,1,37.79576,-122.26691,156.824,0.012,0.0,-63,0.000,0.000,0.231
2014/10/02 09:34:30,1,37.79575,-122.26690,144.029,0.083,0.0,-63,0.000,0.000,0.274
2014/10/02 09:34:35,1,37.79576,-122.26690,132.218,0.110,0.0,-61,0.000,0.000,0.235
2014/10/02 09:34:40,1,37.79578,-122.26690,123.688,0.138,0.0,-61,0.000,0.000,0.235
2014/10/02 09:34:45,1,37.79580,-122.26690,118.438,0.284,0.0,-61,0.000,0.000,0.214
2014/10/02 09:34:50,1,37.79581,-122.26691,108.268,0.169,0.0,-61,0.000,0.000,0.222
2014/10/02 09:34:55,1,37.79579,-122.26693,102.034,0.058,0.0,-61,0.000,0.000,0.227
2014/10/02 09:35:00,1,37.79578,-122.26695,98.753,0.628,0.0,-61,0.000,0.000,0.230
2014/10/02 09:35:05,1,37.79576,-122.26697,89.567,0.207,0.0,-57,0.000,0.000,0.230
2014/10/02 09:35:10,1,37.79574,-122.26699,80.381,0.166,0.0,-57,0.000,0.000,0.214
2014/10/02 09:35:15,1,37.79573,-122.26701,69.226,0.137,0.0,-57,0.000,0.000,0.222
2014/10/02 09:35:20,1,37.79572,-122.26702,52.493,0.358,0.0,-57,0.000,0.000,0.226
2014/10/02 09:35:25,1,37.79573,-122.26703,44.948,0.203,0.0,-57,0.000,0.000,0.207
2014/10/02 09:35:30,1,37.79574,-122.26704,47.572,0.030,0.0,-57,0.000,0.000,0.251
2014/10/02 09:35:35,1,37.79575,-122.26704,43.307,0.057,0.0,-61,0.000,0.000,0.231
2014/10/02 09:35:40,1,37.79576,-122.26704,39.698,0.317,0.0,-61,0.000,0.000,0.267
2014/10/02 09:35:45,1,37.79576,-122.26704,31.168,0.735,0.0,-61,0.000,0.000,0.659
2014/10/02 09:35:50,1,37.79576,-122.26702,32.152,0.223,0.0,-61,0.000,0.000,0.423
2014/10/02 09:35:55,1,37.79576,-122.26706,19.029,2.628,0.0,-61,0.000,0.000,0.226
2014/10/02 09:36:00,1,37.79580,-122.26707,28.871,2.207,0.0,-61,0.019,0.042,0.435
2014/10/02 09:36:05,1,37.79586,-122.26715,42.323,5.396,0.0,-59,0.506,0.500,0.329
2014/10/02 09:36:10,1,37.79591,-122.26727,62.336,2.349,0.0,-59,0.994,0.958,0.313
2014/10/02 09:36:15,1,37.79590,-122.26729,62.992,1.347,0.0,-59,0.904,1.000,0.437
2014/10/02 09:36:20,1,37.79588,-122.26726,62.336,0.630,0.0,-59,0.799,1.000,0.322
2014/10/02 09:36:25,1,37.79588,-122.26726,62.008,0.034,0.0,-59,0.554,1.333,0.537
2014/10/02 09:36:30,1,37.79588,-122.26726,62.664,0.694,0.0,-59,0.960,0.875,0.377
2014/10/02 09:36:35,1,37.79590,-122.26731,61.024,3.254,0.0,-59,1.398,0.917,0.566
2014/10/02 09:36:40,1,37.79593,-122.26739,61.352,3.348,0.0,-65,0.664,0.792,0.954
2014/10/02 09:36:45,1,37.79594,-122.26743,60.367,0.110,0.0,-65,0.797,0.750,0.349
2014/10/02 09:36:50,1,37.79594,-122.26744,58.071,1.581,0.0,-65,0.391,0.833,0.638
2014/10/02 09:36:55,1,37.79594,-122.26754,56.759,5.507,0.0,-65,0.190,0.000,1.431
2014/10/02 09:37:00,1,37.79585,-122.26765,59.383,5.897,0.0,-65,0.000,0.542,2.414
2014/10/02 09:37:05,1,37.79572,-122.26770,57.415,2.343,0.0,-65,0.000,0.208,0.343
2014/10/02 09:37:10,1,37.79567,-122.26770,57.743,0.066,0.0,-67,0.000,0.458,1.723
2014/10/02 09:37:15,1,37.79564,-122.26771,56.759,0.085,0.0,-67,0.000,0.000,1.474
2014/10/02 09:37:20,1,37.79562,-122.26772,55.446,0.042,0.0,-67,0.003,0.000,1.587
2014/10/02 09:37:25,1,37.79550,-122.26773,55.118,11.117,0.0,-67,0.214,0.000,0.790
2014/10/02 09:37:30,1,37.79529,-122.26741,48.885,20.398,0.0,-67,0.879,0.000,0.657
2014/10/02 09:37:35,1,37.79508,-122.26696,48.885,18.496,0.0,-67,0.887,0.042,1.044
2014/10/02 09:37:40,1,37.79506,-122.26667,51.181,13.446,0.0,-67,0.805,0.333,1.353
2014/10/02 09:37:45,1,37.79525,-122.26651,54.790,11.167,0.0,-67,0.711,0.167,0.510
2014/10/02 09:37:50,1,37.79559,-122.26631,56.430,19.098,0.0,-67,0.921,0.500,0.680
2014/10/02 09:37:55,1,37.79588,-122.26613,63.648,10.625,0.0,-67,1.323,0.542,0.754
2014/10/02 09:38:00,1,37.79592,-122.26612,64.633,0.023,0.0,-67,0.712,0.000,1.231
2014/10/02 09:38:05,1,37.79591,-122.26612,69.882,0.011,0.0,-67,0.683,0.167,0.979
2014/10/02 09:38:10,1,37.79591,-122.26613,73.491,0.044,0.0,-65,0.856,0.292,0.787
2014/10/02 09:38:15,1,37.79590,-122.26613,76.444,0.045,0.0,-65,0.699,0.292,1.551
2014/10/02 09:38:20,1,37.79590,-122.26614,78.084,0.033,0.0,-65,0.644,0.250,1.958
2014/10/02 09:38:25,1,37.79598,-122.26609,80.709,11.776,0.0,-65,0.794,0.000,1.134
2014/10/02 09:38:30,1,37.79629,-122.26590,78.740,20.353,0.0,-65,0.510,0.167,1.574
2014/10/02 09:38:35,1,37.79668,-122.26566,74.803,19.784,0.0,-65,0.798,0.208,0.830
2014/10/02 09:38:40,1,37.79685,-122.26556,73.163,1.976,0.0,-65,0.490,0.000,2.321
2014/10/02 09:38:45,1,37.79696,-122.26559,70.210,10.198,0.0,-65,0.381,0.167,3.350
2014/10/02 09:38:50,1,37.79711,-122.26595,62.664,20.660,0.0,-65,0.221,0.167,0.000
2014/10/02 09:38:55,1,37.79728,-122.26640,57.743,14.830,0.0,-65,0.000,0.000,0.000
2014/10/02 09:39:00,1,37.79732,-122.26649,52.822,0.029,0.0,-65,0.000,0.083,0.000
2014/10/02 09:39:05,1,37.79732,-122.26650,48.556,0.031,0.0,-65,0.000,0.000,0.291
2014/10/02 09:39:10,1,37.79732,-122.26650,45.276,0.032,0.0,-65,0.003,0.083,0.239
2014/10/02 09:39:15,1,37.79732,-122.26650,41.995,0.024,0.0,-67,0.305,0.917,0.381
2014/10/02 09:39:20,1,37.79732,-122.26650,39.370,0.024,0.0,-67,0.437,1.167,0.450
2014/10/02 09:39:25,1,37.79732,-122.26649,36.745,0.011,0.0,-67,0.543,1.333,0.606
2014/10/02 09:39:30,1,37.79732,-122.26649,33.465,0.007,0.0,-67,0.429,1.333,0.402
2014/10/02 09:39:35,1,37.79733,-122.26658,31.496,10.168,0.0,-67,0.298,1.333,1.050
2014/10/02 09:39:40,1,37.79710,-122.26680,37.730,17.909,0.0,-67,0.194,0.000,0.554
2014/10/02 09:39:45,1,37.79687,-122.26693,42.651,3.599,0.0,-61,0.273,0.000,0.275
2014/10/02 09:39:50,1,37.79686,-122.26694,39.042,0.042,0.0,-61,0.280,0.000,1.402
2014/10/02 09:39:55,1,37.79686,-122.26694,37.073,0.039,0.0,-61,0.365,0.000,1.226
2014/10/02 09:40:00,1,37.79685,-122.26694,35.105,0.034,0.0,-61,0.503,0.042,0.470
2014/10/02 09:40:05,1,37.79685,-122.26694,36.089,0.029,0.0,-61,0.262,0.625,1.198
2014/10/02 09:40:10,1,37.79686,-122.26694,43.307,0.276,0.0,-61,0.000,0.583,0.394
2014/10/02 09:40:15,1,37.79671,-122.26685,42.323,15.030,0.0,-51,0.330,1.167,0.439
2014/10/02 09:40:20,1,37.79659,-122.26650,41.995,10.669,0.0,-51,0.378,1.208,0.493
2014/10/02 09:40:25,1,37.79665,-122.26638,40.026,5.727,0.0,-51,0.708,1.042,0.694
2014/10/02 09:40:30,1,37.79660,-122.26621,37.402,9.175,0.0,-51,0.885,0.542,0.807
2014/10/02 09:40:35,1,37.79656,-122.26601,37.730,8.042,0.0,-51,0.503,0.833,0.558
2014/10/02 09:40:40,1,37.79664,-122.26596,39.698,1.223,0.0,-51,0.332,0.667,0.713
2014/10/02 09:40:45,1,37.79661,-122.26597,39.698,2.127,0.0,-51,0.343,0.542,0.551
2014/10/02 09:40:50,1,37.79662,-122.26602,36.417,2.573,0.0,-69,0.491,0.667,0.507
2014/10/02 09:40:55,1,37.79665,-122.26610,37.402,1.485,0.0,-69,0.386,0.000,0.310
2014/10/02 09:41:00,1,37.79668,-122.26619,78.412,0.431,0.0,-69,0.183,0.667,0.426
2014/10/02 09:41:05,1,37.79667,-122.26629,105.315,0.749,0.0,-69,0.260,0.833,0.370
2014/10/02 09:41:10,1,37.79666,-122.26636,164.698,0.576,0.0,-69,0.698,0.000,0.747
2014/10/02 09:41:15,1,37.79665,-122.26642,223.753,0.937,0.0,-69,0.971,0.000,0.419
2014/10/02 09:41:20,1,37.79664,-122.26647,272.638,0.867,0.0,-61,0.660,0.042,0.434
2014/10/02 09:41:25,1,37.79662,-122.26652,327.428,1.096,0.0,-61,0.400,1.083,0.528
2014/10/02 09:41:30,1,37.79662,-122.26655,350.722,1.058,0.0,-61,0.562,1.250,0.406
2014/10/02 09:41:35,1,37.79661,-122.26656,362.205,0.870,0.0,-61,0.736,1.167,0.557
2014/10/02 09:41:40,1,37.79662,-122.26654,326.772,0.670,0.0,-61,0.403,0.833,0.437
2014/10/02 09:41:45,1,37.79663,-122.26655,341.535,0.469,0.0,-61,0.414,0.958,0.363
2014/10/02 09:41:50,1,37.79662,-122.26657,384.843,0.785,0.0,-63,0.622,1.042,0.477
2014/10/02 09:41:55,1,37.79662,-122.26658,413.386,0.774,0.0,-63,0.837,0.958,0.402
2014/10/02 09:42:00,1,37.79662,-122.26661,444.882,0.665,0.0,-63,0.639,1.167,0.478
2014/10/02 09:42:05,2,37.79662,-122.26663,468.504,0.804,0.0,-63,0.385,1.250,0.562
2014/10/02 09:42:10,2,37.79662,-122.26664,479.331,0.314,0.0,-63,0.739,0.000,0.461
2014/10/02 09:42:15,2,37.79663,-122.26663,468.176,0.546,0.0,-63,0.882,0.000,0.529
2014/10/02 09:42:20,2,37.79663,-122.26661,463.583,0.493,0.0,-61,0.827,0.042,0.511
2014/10/02 09:42:25,2,37.79664,-122.26659,452.100,0.344,0.0,-61,0.566,0.833,0.343
2014/10/02 09:42:30,2,37.79664,-122.26658,448.163,0.374,0.0,-61,0.776,0.875,0.542
2014/10/02 09:42:35,2,37.79664,-122.26657,454.068,0.663,0.0,-61,0.936,0.958,0.326
2014/10/02 09:42:40,2,37.79663,-122.26657,468.832,0.212,0.0,-61,0.511,0.792,0.442
2014/10/02 09:42:45,2,37.79662,-122.26655,482.940,0.620,0.0,-61,0.482,1.208,0.359
2014/10/02 09:42:50,2,37.79662,-122.26651,496.063,0.968,0.0,-61,0.754,0.917,0.590
2014/10/02 09:42:55,2,37.79659,-122.26649,511.811,0.771,0.0,-61,0.628,0.958,0.478
2014/10/02 09:43:00,2,37.79659,-122.26646,518.045,0.331,0.0,-61,0.929,0.708,0.486
2014/10/02 09:43:05,2,37.79657,-122.26642,526.247,0.302,0.0,-61,0.855,1.042,0.442
2014/10/02 09:43:10,2,37.79652,-122.26640,530.512,1.062,0.0,-61,0.966,0.000,0.695
2014/10/02 09:43:15,2,37.79650,-122.26636,533.465,0.457,0.0,-61,0.921,0.792,0.310
2014/10/02 09:43:20,2,37.79651,-122.26636,542.323,0.896,0.0,-61,0.966,0.750,0.674
2014/10/02 09:43:25,2,37.79655,-122.26634,539.698,0.772,0.0,-61,0.363,0.000,0.266
2014/10/02 09:43:30,2,37.79661,-122.26631,543.963,0.519,0.0,-61,1.031,0.000,0.429
2014/10/02 09:43:35,2,37.79661,-122.26632,546.588,0.462,0.0,-61,0.891,0.042,0.310
2014/10/02 09:43:40,2,37.79659,-122.26634,540.026,0.769,0.0,-61,0.805,0.875,0.702
2014/10/02 09:43:45,2,37.79657,-122.26636,535.105,0.131,0.0,-61,0.821,0.792,0.438
2014/10/02 09:43:50,2,37.79652,-122.26641,520.013,0.383,0.0,-61,0.429,0.708,0.474
2014/10/02 09:43:55,2,37.79648,-122.26644,515.748,0.585,0.0,-59,0.410,0.917,0.953
2014/10/02 09:44:00,2,37.79646,-122.26642,525.262,0.561,0.0,-59,0.572,1.083,0.565
2014/10/02 09:44:05,2,37.79643,-122.26644,522.638,0.661,0.0,-59,0.665,0.958,0.387
2014/10/02 09:44:10,2,37.79641,-122.26645,537.402,0.928,0.0,-59,0.746,0.917,0.657
2014/10/02 09:44:15,2,37.79640,-122.26647,553.150,0.157,0.0,-59,0.917,0.833,0.726
2014/10/02 09:44:20,2,37.79638,-122.26653,554.790,1.615,0.0,-59,0.638,0.625,0.334
2014/10/02 09:44:25,2,37.79634,-122.26658,559.055,1.037,0.0,-63,0.669,0.750,0.792
2014/10/02 09:44:30,2,37.79634,-122.26659,560.367,0.585,0.0,-63,0.520,0.750,0.461
2014/10/02 09:44:35,2,37.79634,-122.26660,553.478,0.408,0.0,-63,0.668,0.000,0.422
2014/10/02 09:44:40,2,37.79635,-122.26659,546.916,0.650,0.0,-63,0.828,1.042,0.678
2014/10/02 09:44:45,2,37.79635,-122.26659,527.559,0.543,0.0,-63,0.639,0.000,0.374
2014/10/02 09:44:50,2,37.79636,-122.26658,495.079,0.312,0.0,-63,0.740,0.042,0.306
2014/10/02 09:44:55,2,37.79639,-122.26655,485.564,0.102,0.0,-63,0.561,0.833,0.683
2014/10/02 09:45:00,2,37.79644,-122.26652,486.220,0.126,0.0,-61,0.561,0.958,0.915
2014/10/02 09:45:05,2,37.79654,-122.26651,481.955,0.387,0.0,-61,0.441,0.708,0.647
2014/10/02 09:45:10,2,37.79660,-122.26652,481.299,0.315,0.0,-61,0.000,1.042,0.463
2014/10/02 09:45:15,2,37.79660,-122.26653,480.971,0.257,0.0,-61,0.669,1.083,0.550
2014/10/02 09:45:20,2,37.79660,-122.26655,479.003,0.266,0.0,-61,0.701,0.917,0.548
2014/10/02 09:45:25,2,37.79658,-122.26656,471.785,0.795,0.0,-61,0.530,0.958,0.821
2014/10/02 09:45:30,2,37.79656,-122.26658,454.724,0.080,0.0,-63,0.578,0.000,0.379
2014/10/02 09:45:35,2,37.79656,-122.26658,437.336,0.159,0.0,-63,0.486,1.000,0.833
2014/10/02 09:45:40,2,37.79655,-122.26658,423.556,0.299,0.0,-63,0.403,0.875,0.507
2014/10/02 09:45:45,2,37.79655,-122.26658,440.945,0.255,0.0,-63,0.695,1.042,0.434
2014/10/02 09:45:50,2,37.79655,-122.26658,462.927,0.207,0.0,-63,0.492,0.792,0.354
2014/10/02 09:45:55,2,37.79655,-122.26658,479.003,0.139,0.0,-63,0.868,0.000,0.259
2014/10/02 09:46:00,2,37.79654,-122.26658,492.454,0.261,0.0,-61,0.831,0.000,0.422
2014/10/02 09:46:05,2,37.79654,-122.26658,505.906,0.142,0.0,-61,0.662,0.042,0.959
2014/10/02 09:46:10,2,37.79653,-122.26658,514.764,0.428,0.0,-61,0.727,0.750,0.506
2014/10/02 09:46:15,2,37.79653,-122.26659,518.045,0.134,0.0,-61,0.461,1.250,0.463
2014/10/02 09:46:20,2,37.79652,-122.26660,516.404,0.150,0.0,-61,0.737,0.875,0.542
2014/10/02 09:46:25,2,37.79651,-122.26660,504.921,0.243,0.0,-61,0.741,0.000,1.378
2014/10/02 09:46:30,2,37.79649,-122.26662,494.094,0.799,0.0,-59,0.747,0.208,0.726
2014/10/02 09:46:35,2,37.79645,-122.26661,493.766,0.491,0.0,-59,0.779,0.375,0.753
2014/10/02 09:46:40,2,37.79642,-122.26660,497.703,1.205,0.0,-59,0.658,1.125,0.730
2014/10/02 09:46:45,2,37.79641,-122.26656,503.937,0.849,0.0,-59,0.292,0.917,0.387
2014/10/02 09:46:50,2,37.79638,-122.26647,511.483,2.052,0.0,-59,0.295,1.292,0.554
2014/10/02 09:46:55,2,37.79637,-122.26638,508.530,1.130,0.0,-59,0.457,0.833,0.773
2014/10/02 09:47:00,2,37.79640,-122.26636,498.688,0.210,0.0,-59,0.657,0.667,0.648
2014/10/02 09:47:05,2,37.79640,-122.26637,492.782,0.646,0.0,-61,0.721,0.750,0.789
2014/10/02 09:47:10,2,37.79641,-122.26638,503.609,0.393,0.0,-61,0.775,0.458,0.526
2014/10/02 09:47:15,2,37.79639,-122.26641,509.843,2.607,0.0,-61,0.619,0.583,0.370
2014/10/02 09:47:20,2,37.79638,-122.26642,513.123,0.804,0.0,-61,0.535,0.000,0.401
2014/10/02 09:47:25,2,37.79637,-122.26647,515.748,1.180,0.0,-61,0.695,0.000,1.695
2014/10/02 09:47:30,2,37.79636,-122.26650,512.139,1.114,0.0,-61,0.359,0.000,0.779
2014/10/02 09:47:35,2,37.79642,-122.26651,511.155,0.528,0.0,-69,0.425,0.042,0.641
2014/10/02 09:47:40,2,37.79647,-122.26649,518.701,0.490,0.0,-69,0.398,0.333,0.767
2014/10/02 09:47:45,1,37.79649,-122.26646,528.543,0.274,0.0,-69,0.318,0.625,1.499
2014/10/02 09:47:50,1,37.79650,-122.26644,537.073,0.321,0.0,-69,0.276,0.000,0.000
2014/10/02 09:47:55,1,37.79651,-122.26646,543.963,0.306,0.0,-69,0.195,0.500,2.506
2014/10/02 09:48:00,1,37.79652,-122.26647,543.307,0.408,0.0,-69,0.359,0.500,0.851
2014/10/02 09:48:05,1,37.79651,-122.26651,537.073,0.337,0.0,-73,0.353,0.458,1.115
2014/10/02 09:48:11,1,37.79651,-122.26653,514.764,0.402,0.0,-73,0.334,0.542,0.554
2014/10/02 09:48:16,1,37.79647,-122.26657,507.546,0.198,0.0,-73,0.402,0.667,0.702
2014/10/02 09:48:21,1,37.79644,-122.26659,468.504,0.132,0.0,-73,0.418,0.875,0.435
2014/10/02 09:48:26,1,37.79643,-122.26662,435.696,0.131,0.0,-73,0.418,1.000,0.590
2014/10/02 09:48:31,1,37.79645,-122.26661,393.045,0.206,0.0,-73,0.362,0.750,0.662
2014/10/02 09:48:36,1,37.79647,-122.26660,351.378,0.628,0.0,-69,0.315,0.667,1.053
2014/10/02 09:48:41,1,37.79649,-122.26660,321.194,1.014,0.0,-69,0.000,0.625,0.727
2014/10/02 09:48:46,1,37.79649,-122.26663,309.711,0.930,0.0,-69,0.445,0.000,0.439
2014/10/02 09:48:51,1,37.79647,-122.26668,308.071,0.767,0.0,-69,0.343,1.000,0.459
2014/10/02 09:48:56,1,37.79646,-122.26673,317.585,0.621,0.0,-69,0.209,1.042,0.687
2014/10/02 09:49:01,1,37.79646,-122.26676,325.131,0.347,0.0,-69,0.294,0.000,0.990
2014/10/02 09:49:06,1,37.79645,-122.26678,332.021,0.770,0.0,-73,0.310,0.000,0.563
2014/10/02 09:49:11,1,37.79645,-122.26678,359.252,0.111,0.0,-73,0.443,0.000,0.642
2014/10/02 09:49:16,1,37.79644,-122.26678,380.906,0.707,0.0,-73,0.406,0.000,0.801
2014/10/02 09:49:21,1,37.79642,-122.26678,396.982,0.670,0.0,-73,0.459,0.042,1.051
2014/10/02 09:49:26,1,37.79640,-122.26678,411.745,0.671,0.0,-73,0.423,0.292,1.969
2014/10/02 09:49:31,1,37.79644,-122.26675,411.417,0.170,0.0,-73,0.257,0.792,0.417
2014/10/02 09:49:36,1,37.79649,-122.26671,365.486,0.532,0.0,-73,0.178,1.000,0.645
2014/10/02 09:49:41,1,37.79652,-122.26669,327.428,0.397,0.0,-75,0.270,0.792,0.698
2014/10/02 09:49:46,1,37.79656,-122.26667,294.948,1.209,0.0,-75,0.312,0.000,0.863
2014/10/02 09:49:51,1,37.79656,-122.26666,270.341,1.726,0.0,-75,0.365,0.958,0.454
2014/10/02 09:49:56,1,37.79658,-122.26664,264.436,0.910,0.0,-75,0.321,0.667,0.855
2014/10/02 09:50:01,1,37.79658,-122.26665,258.530,0.689,0.0,-75,0.295,0.500,1.219
2014/10/02 09:50:06,1,37.79657,-122.26667,254.593,0.827,0.0,-75,0.259,0.417,1.419
2014/10/02 09:50:11,1,37.79656,-122.26669,251.969,0.800,0.0,-75,0.256,0.375,1.471
2014/10/02 09:50:16,1,37.79655,-122.26672,254.593,0.806,0.0,-75,0.237,0.208,1.806
2014/10/02 09:50:21,1,37.79656,-122.26672,268.045,0.809,0.0,-75,0.230,0.375,1.611
2014/10/02 09:50:26,1,37.79656,-122.26671,283.465,0.600,0.0,-75,0.360,0.417,1.437
2014/10/02 09:50:31,1,37.79656,-122.26671,297.244,0.533,0.0,-75,0.474,0.375,1.607
2014/10/02 09:50:36,1,37.79653,-122.26673,309.711,0.375,0.0,-75,0.423,0.000,1.190
2014/10/02 09:50:41,1,37.79650,-122.26674,316.601,0.565,0.0,-77,0.520,0.625,1.979
2014/10/02 09:50:46,1,37.79645,-122.26678,318.570,0.775,0.0,-77,0.410,0.250,0.382
2014/10/02 09:50:51,1,37.79641,-122.26682,323.163,1.325,0.0,-77,0.388,0.375,0.659
2014/10/02 09:50:56,1,37.79639,-122.26682,332.021,0.474,0.0,-77,0.324,0.500,1.501
2014/10/02 09:51:01,1,37.79636,-122.26681,343.832,0.202,0.0,-77,0.298,0.625,1.351
2014/10/02 09:51:06,1,37.79633,-122.26678,356.627,0.490,0.0,-77,0.436,0.000,0.978
2014/10/02 09:51:11,2,37.79631,-122.26672,367.782,0.701,0.0,-75,0.449,0.542,0.853
2014/10/02 09:51:16,2,37.79628,-122.26666,374.344,1.122,0.0,-75,0.402,0.000,0.851
2014/10/02 09:51:21,2,37.79628,-122.26662,382.218,1.237,0.0,-75,0.313,0.000,1.423
2014/10/02 09:51:26,2,37.79629,-122.26666,383.202,0.286,0.0,-75,0.330,0.000,1.461
2014/10/02 09:51:31,2,37.79631,-122.26667,381.562,0.192,0.0,-75,0.364,0.000,0.690
2014/10/02 09:51:36,2,37.79634,-122.26667,379.265,0.350,0.0,-75,0.184,0.000,0.898
2014/10/02 09:51:41,2,37.79636,-122.26664,375.000,0.324,0.0,-75,0.329,0.000,0.799
2014/10/02 09:51:46,2,37.79638,-122.26662,369.423,0.083,0.0,-79,0.347,0.000,0.750
2014/10/02 09:51:51,2,37.79641,-122.26659,364.829,0.375,0.0,-79,0.460,0.000,1.038
2014/10/02 09:51:56,2,37.79642,-122.26657,362.533,0.534,0.0,-79,0.545,0.042,0.628
2014/10/02 09:52:01,2,37.79645,-122.26655,359.252,0.169,0.0,-79,0.538,0.000,1.328
2014/10/02 09:52:06,2,37.79644,-122.26655,356.299,2.346,0.0,-79,0.000,0.250,1.930
2014/10/02 09:52:11,2,37.79645,-122.26654,352.034,0.434,0.0,-79,0.269,0.208,0.715
2014/10/02 09:52:16,2,37.79647,-122.26651,346.129,0.062,0.0,-75,0.378,0.542,1.219
2014/10/02 09:52:21,2,37.79649,-122.26650,342.520,0.195,0.0,-75,0.266,0.000,1.986
2014/10/02 09:52:26,2,37.79649,-122.26650,338.583,0.091,0.0,-75,0.234,0.458,3.066
2014/10/02 09:52:31,2,37.79646,-122.26651,343.832,0.055,0.0,-75,0.250,0.583,1.807
2014/10/02 09:52:36,2,37.79644,-122.26652,348.425,0.077,0.0,-75,0.497,0.625,1.488
2014/10/02 09:52:41,2,37.79646,-122.26651,351.378,0.362,0.0,-75,0.420,0.542,0.617
2014/10/02 09:52:46,2,37.79648,-122.26649,350.066,0.202,0.0,-73,0.403,0.667,0.869
2014/10/02 09:52:51,2,37.79649,-122.26648,348.425,0.340,0.0,-73,0.397,0.333,1.226
