Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 SS (dBm),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/09/16 11:04:36,5.02,37.80236,-122.29866,-45.604,60.316,0.0,-79,0.000,0.000,0.000
2014/09/16 11:04:41,5.02,37.80279,-122.29997,28.215,56.325,0.0,-79,0.000,0.000,0.000
2014/09/16 11:04:46,4.73,37.80338,-122.30111,67.913,52.168,0.0,-79,0.000,0.000,0.000
2014/09/16 11:04:51,4.73,37.80411,-122.30216,85.302,55.810,0.0,-77,0.000,0.000,0.000
2014/09/16 11:04:56,4.72,37.80510,-122.30315,89.567,64.689,0.0,-77,0.000,0.000,1.722
2014/09/16 11:05:01,4.72,37.80621,-122.30390,62.992,62.496,0.0,-77,0.000,0.000,0.173
2014/09/16 11:05:06,4.72,37.80740,-122.30436,59.711,61.687,0.0,-77,0.105,0.125,0.217
2014/09/16 11:05:11,4.71,37.80867,-122.30452,57.415,62.578,0.0,-77,1.956,0.833,0.493
2014/09/16 11:05:16,4.71,37.80990,-122.30437,54.790,61.999,0.0,-77,2.260,0.500,0.202
2014/09/16 11:05:21,4.71,37.81107,-122.30393,42.979,61.938,0.0,-61,3.106,0.667,0.197
2014/09/16 11:05:26,4.71,37.81217,-122.30320,45.276,61.701,0.0,-61,3.474,0.875,0.181
2014/09/16 11:05:31,4.7,37.81315,-122.30221,40.354,63.108,0.0,-61,3.279,0.958,0.177
2014/09/16 11:05:36,2.52,37.81400,-122.30103,39.042,62.739,0.0,-61,2.327,0.417,0.153
2014/09/16 11:05:41,2.52,37.81482,-122.29986,41.339,60.958,0.0,-61,1.804,1.125,0.566
2014/09/16 11:05:46,2.52,37.81559,-122.29866,53.150,60.010,0.0,-61,0.606,0.458,2.747
2014/09/16 11:05:51,2.52,37.81637,-122.29754,56.759,56.228,0.0,-61,0.882,0.542,0.196
2014/09/16 11:05:56,2.52,37.81718,-122.29653,81.037,55.788,0.0,-91,1.237,0.000,0.322
2014/09/16 11:06:01,2.53,37.81804,-122.29561,77.100,56.836,0.0,-91,0.632,1.500,1.441
2014/09/16 11:06:06,2.63,37.81897,-122.29478,80.709,56.092,0.0,-91,0.420,0.625,2.156
2014/09/16 11:06:11,2.63,37.81993,-122.29399,83.333,58.736,0.0,-91,0.366,0.542,1.734
2014/09/16 11:06:16,2.53,37.82094,-122.29315,84.318,60.930,0.0,-91,0.448,0.583,3.520
2014/09/16 11:06:21,2.53,37.82198,-122.29236,84.646,59.535,0.0,-91,0.403,0.000,1.676
2014/09/16 11:06:26,2.53,37.82305,-122.29168,86.942,59.249,0.0,-77,0.497,0.958,0.609
2014/09/16 11:06:31,2.32,37.82412,-122.29114,97.441,56.365,0.0,-77,1.309,0.500,0.508
2014/09/16 11:06:36,1.8,37.82521,-122.29072,109.580,56.790,0.0,-77,1.095,1.250,0.722
2014/09/16 11:06:41,1.8,37.82633,-122.29075,117.782,55.413,0.0,-77,0.651,1.000,0.625
2014/09/16 11:06:46,1.81,37.82737,-122.29126,123.688,55.825,0.0,-77,0.290,0.958,2.810
2014/09/16 11:06:51,1.81,37.82824,-122.29214,125.328,56.025,0.0,-77,0.273,0.000,0.000
2014/09/16 11:06:56,1.81,37.82917,-122.29295,127.625,56.834,0.0,-65,0.388,0.583,0.000
2014/09/16 11:07:01,1.81,37.83034,-122.29327,125.328,59.027,0.0,-65,0.331,0.625,1.035
2014/09/16 11:07:06,1.81,37.83151,-122.29346,113.517,60.305,0.0,-65,0.000,0.708,0.000
2014/09/16 11:07:11,1.81,37.83272,-122.29378,97.769,62.603,0.0,-65,0.000,0.125,0.000
2014/09/16 11:07:16,1.81,37.83392,-122.29444,83.005,66.478,0.0,-65,0.000,0.833,0.000
2014/09/16 11:07:21,1.81,37.83513,-122.29514,76.115,66.041,0.0,-65,0.000,2.333,0.905
2014/09/16 11:07:26,1.81,37.83636,-122.29578,71.522,67.084,0.0,-79,0.000,0.000,3.233
2014/09/16 11:07:31,1.81,37.83763,-122.29635,72.507,67.446,0.0,-79,0.000,1.833,1.666
2014/09/16 11:07:36,1.81,37.83893,-122.29669,54.134,65.807,0.0,-79,0.006,1.542,1.658
2014/09/16 11:07:41,1.81,37.84022,-122.29690,38.714,64.060,0.0,-79,0.813,1.000,1.897
2014/09/16 11:07:46,1.81,37.84150,-122.29717,29.856,64.523,0.0,-79,1.965,2.625,0.870
2014/09/16 11:07:51,1.82,37.84276,-122.29746,28.215,63.409,0.0,-79,0.856,0.000,0.606
2014/09/16 11:07:56,1.82,37.84400,-122.29774,32.480,61.486,0.0,-79,1.193,1.500,0.685
2014/09/16 11:08:01,1.82,37.84523,-122.29801,34.121,62.344,0.0,-69,1.820,1.500,0.406
2014/09/16 11:08:06,1.82,37.84648,-122.29829,32.808,63.704,0.0,-69,1.231,1.542,0.217
2014/09/16 11:08:11,1.82,37.84772,-122.29861,38.058,62.436,0.0,-69,0.753,1.042,1.414
2014/09/16 11:08:16,1.82,37.84897,-122.29889,45.932,62.289,0.0,-69,0.529,0.000,1.277
2014/09/16 11:08:21,1.82,37.85021,-122.29916,47.900,62.556,0.0,-69,0.104,1.500,2.309
2014/09/16 11:08:26,1.82,37.85146,-122.29945,53.478,63.174,0.0,-69,0.218,1.000,0.409
2014/09/16 11:08:31,1.82,37.85269,-122.29977,53.478,62.024,0.0,-83,1.112,0.000,1.470
2014/09/16 11:08:36,1.82,37.85389,-122.30010,52.493,60.691,0.0,-83,1.195,2.042,2.721
2014/09/16 11:08:41,1.82,37.85508,-122.30043,51.181,61.568,0.0,-83,0.562,2.125,0.000
2014/09/16 11:08:46,1.82,37.85630,-122.30077,49.869,62.597,0.0,-83,0.836,0.000,2.070
2014/09/16 11:08:51,1.82,37.85754,-122.30111,48.228,63.275,0.0,-83,1.493,2.500,2.365
2014/09/16 11:08:56,1.83,37.85880,-122.30146,48.556,64.715,0.0,-83,1.161,1.875,2.469
2014/09/16 11:09:01,2.9,37.86009,-122.30182,50.525,66.133,0.0,-75,1.763,1.875,2.266
2014/09/16 11:09:06,1.83,37.86139,-122.30219,50.197,66.290,0.0,-75,1.003,0.000,2.879
2014/09/16 11:09:11,1.83,37.86269,-122.30256,48.556,66.424,0.0,-75,0.979,1.917,3.241
2014/09/16 11:09:16,1.83,37.86400,-122.30292,48.556,66.610,0.0,-75,1.107,1.250,2.009
2014/09/16 11:09:21,1.83,37.86530,-122.30328,49.213,65.712,0.0,-75,0.925,1.917,1.189
2014/09/16 11:09:26,2.59,37.86659,-122.30366,46.260,66.419,0.0,-75,0.604,0.000,1.375
2014/09/16 11:09:31,1.83,37.86789,-122.30405,45.932,66.783,0.0,-63,0.431,1.250,1.601
2014/09/16 11:09:36,1.83,37.86920,-122.30445,46.588,67.348,0.0,-63,1.392,1.917,1.229
2014/09/16 11:09:41,1.83,37.87050,-122.30485,45.276,65.139,0.0,-63,1.683,1.833,1.369
2014/09/16 11:09:46,1.83,37.87178,-122.30525,45.604,66.578,0.0,-63,1.478,1.917,0.000
2014/09/16 11:09:51,1.83,37.87308,-122.30565,49.213,65.427,0.0,-63,0.878,1.208,0.978
2014/09/16 11:09:56,1.84,37.87435,-122.30604,50.525,65.346,0.0,-63,0.748,2.000,1.089
2014/09/16 11:10:01,1.84,37.87565,-122.30644,53.150,67.766,0.0,-63,0.888,1.875,1.610
2014/09/16 11:10:06,1.84,37.87697,-122.30685,58.727,68.640,0.0,-59,1.361,0.000,2.162
2014/09/16 11:10:11,1.84,37.87830,-122.30725,62.336,66.634,0.0,-59,1.025,1.875,1.766
2014/09/16 11:10:16,2.92,37.87964,-122.30756,56.759,67.982,0.0,-59,1.590,1.875,1.974
2014/09/16 11:10:21,1.84,37.88099,-122.30786,48.228,67.307,0.0,-59,0.498,1.208,1.490
2014/09/16 11:10:26,2.92,37.88234,-122.30817,43.307,68.210,0.0,-59,0.833,1.917,1.148
2014/09/16 11:10:31,1.84,37.88371,-122.30848,50.525,68.349,0.0,-59,1.223,1.875,1.365
2014/09/16 11:10:36,1.84,37.88506,-122.30877,41.667,68.085,0.0,-55,1.498,0.000,2.000
2014/09/16 11:10:41,1.84,37.88641,-122.30902,52.165,67.616,0.0,-55,1.416,1.875,2.568
2014/09/16 11:10:46,1.93,37.88774,-122.30900,63.648,63.808,0.0,-55,1.410,1.875,1.686
2014/09/16 11:10:51,1.84,37.88897,-122.30867,75.787,62.168,0.0,-55,1.779,1.833,1.057
2014/09/16 11:10:56,1.84,37.89012,-122.30811,78.740,61.173,0.0,-55,2.080,1.875,1.213
2014/09/16 11:11:01,1.85,37.89129,-122.30757,79.068,62.247,0.0,-55,0.814,0.000,0.000
2014/09/16 11:11:06,1.85,37.89252,-122.30735,75.459,62.154,0.0,-87,0.199,1.292,4.873
2014/09/16 11:11:11,3.67,37.89379,-122.30751,73.163,64.949,0.0,-87,0.653,1.417,0.630
2014/09/16 11:11:16,2.93,37.89502,-122.30800,66.601,64.469,0.0,-87,0.871,1.875,0.974
2014/09/16 11:11:21,2.93,37.89624,-122.30851,57.743,64.964,0.0,-87,0.707,1.875,2.196
2014/09/16 11:11:26,2.93,37.89748,-122.30901,48.885,66.522,0.0,-87,0.708,0.000,1.650
2014/09/16 11:11:31,2.93,37.89876,-122.30953,48.885,66.830,0.0,-87,0.489,0.000,0.598
2014/09/16 11:11:36,1.85,37.90001,-122.31012,62.992,66.598,0.0,-73,1.288,0.000,0.313
2014/09/16 11:11:41,1.85,37.90117,-122.31090,64.304,65.240,0.0,-73,0.629,0.042,1.189
2014/09/16 11:11:46,1.85,37.90233,-122.31169,71.522,65.484,0.0,-73,0.856,0.958,0.282
2014/09/16 11:11:51,1.85,37.90347,-122.31246,74.147,63.796,0.0,-73,0.665,1.833,0.675
2014/09/16 11:11:56,1.85,37.90461,-122.31325,72.178,64.373,0.0,-73,0.589,1.458,0.537
2014/09/16 11:12:01,1.86,37.90574,-122.31402,59.711,64.684,0.0,-73,0.440,0.708,1.821
2014/09/16 11:12:06,1.86,37.90690,-122.31482,46.260,67.181,0.0,-73,0.284,0.000,0.958
2014/09/16 11:12:11,1.86,37.90810,-122.31565,45.276,68.364,0.0,-93,0.449,0.500,0.762
2014/09/16 11:12:16,1.86,37.90929,-122.31646,53.150,65.020,0.0,-93,0.371,0.542,1.218
2014/09/16 11:12:21,1.86,37.91049,-122.31709,58.727,64.820,0.0,-93,0.190,0.000,0.000
2014/09/16 11:12:26,1.86,37.91177,-122.31737,55.446,63.976,0.0,-93,0.102,0.000,6.642
2014/09/16 11:12:31,1.86,37.91308,-122.31739,48.556,64.790,0.0,-93,0.041,0.292,2.552
2014/09/16 11:12:36,2.93,37.91441,-122.31739,52.165,63.647,0.0,-93,0.289,0.000,0.000
2014/09/16 11:12:41,1.86,37.91570,-122.31740,53.806,63.133,0.0,-89,0.207,0.292,0.000
2014/09/16 11:12:46,1.86,37.91698,-122.31740,61.352,64.103,0.0,-89,0.231,0.000,0.000
2014/09/16 11:12:51,1.86,37.91830,-122.31741,66.601,66.256,0.0,-89,0.285,0.125,0.000
2014/09/16 11:12:56,1.86,37.91964,-122.31747,75.787,66.740,0.0,-89,0.485,0.125,0.000
2014/09/16 11:13:01,1.87,37.92092,-122.31782,77.428,65.246,0.0,-89,0.197,0.000,0.000
2014/09/16 11:13:06,1.87,37.92213,-122.31844,66.601,65.419,0.0,-89,0.382,0.000,0.000
2014/09/16 11:13:11,1.87,37.92327,-122.31918,68.241,63.431,0.0,-51,0.275,0.292,0.000
2014/09/16 11:13:16,1.87,37.92441,-122.31994,76.115,64.887,0.0,-51,0.267,0.000,0.000
2014/09/16 11:13:21,1.87,37.92556,-122.32072,86.614,65.107,0.0,-51,0.254,0.167,0.000
2014/09/16 11:13:26,1.97,37.92668,-122.32150,89.895,63.824,0.0,-51,0.434,0.000,0.000
2014/09/16 11:13:31,1.97,37.92782,-122.32231,87.270,66.581,0.0,-51,0.468,0.000,0.000
2014/09/16 11:13:36,1.87,37.92897,-122.32318,90.551,67.632,0.0,-51,0.000,0.375,0.000
2014/09/16 11:13:41,1.87,37.93012,-122.32405,102.034,65.605,0.0,-63,0.239,0.000,0.000
2014/09/16 11:13:46,1.87,37.93122,-122.32485,117.126,61.810,0.0,-63,0.114,0.000,0.000
2014/09/16 11:13:51,1.87,37.93230,-122.32560,127.297,60.375,0.0,-63,0.306,0.000,0.000
2014/09/16 11:13:56,1.98,37.93335,-122.32630,136.811,59.469,0.0,-63,0.117,0.000,0.000
2014/09/16 11:14:01,1.88,37.93445,-122.32673,132.874,55.993,0.0,-63,0.254,0.000,0.000
2014/09/16 11:14:06,1.88,37.93557,-122.32675,129.265,55.496,0.0,-63,0.244,0.000,0.000
